Отметка времени,מה קבוצת הגיל שלך?,האם עברת לעיר חדשה או שינית סטטוס (לימודים/עבודה/שחרור מהצבא) ב-3 שנים האחרונות ?,"האם חווית קושי ביצירת קשרים שהחמיר בעקבות האירוע ספציפי (מעבר עיר, סיום לימודים וכו')?","בשבוע טיפוסי, כמה פעמים אתה יוצא לפעילות חברתית שאינה קשורה לעבודה/לימודים?",באיזו דרך הכרת הכי הרבה חברים חדשים בתקופה האחרונה?,"כשאתה רוצה לעשות פעילות (כמו ריצה או טניס) ואין לך פרטנר, מה אתה עושה בדרך כלל?",עד כמה קשה לך להגיע לאירוע חברתי או פעילות כשאתה לא מכיר שם אף אחד? ,עד כמה אתה מרגיש שחסרה לך מסגרת שמאפשרת מפגשים ספונטניים סביב תחומי עניין? ,"באיזה תחום הכי היית רוצה למצוא ""שותף"" לפעילות כרגע?","בפעם האחרונה ששקלת להיפגש עם אדם חדש מהאפליקציה כלשהי (לכל מטרה), מה גרם לך להרגיש מספיק בטוח כדי להיפגש?","באיזו תדירות יצא לך להשתמש באפליקציות היכרויות (כמו טינדר/באמבל) פשוט כי הרגשת צורך באינטראקציה חברתית או בשיחה, ולאו דווקא למטרת דייט?","בשבוע טיפוסי, כמה פעמים אתה יוצא לפעילות חברתית שאינה קשורה לעבודה/לימודים?",באיזו דרך הכרת הכי הרבה חברים חדשים בתקופה האחרונה?,"כשאתה רוצה לעשות פעילות (כמו ריצה או טניס) ואין לך פרטנר, מה אתה עושה בדרך כלל?",עד כמה קשה לך להגיע לאירוע חברתי או פעילות כשאתה לא מכיר שם אף אחד? ,עד כמה אתה מרגיש שחסרה לך מסגרת שמאפשרת מפגשים ספונטניים סביב תחומי עניין? ,"באיזה תחום הכי היית רוצה למצוא ""שותף"" לפעילות כרגע?","בפעם האחרונה ששקלת להיפגש עם אדם חדש מהאפליקציה כלשהי (לכל מטרה), מה גרם לך להרגיש מספיק בטוח כדי להיפגש?","האם יצא לך להשתמש באפליקציות היכרויות (כמו טינדר/באמבל) פשוט כי הרגשת צורך באינטראקציה חברתית או בשיחה, ולאו דווקא למטרת דייט?"
14.01.2026 18:42:21,26-30,כן,כן,1-2,"אפליקציות, דרך חברים קיימים",הולך לבד,4,4,בילוי/יין,"הפרופיל שלו נראה אמיתי ומפורט, דיברנו קודם בטלפון/וידאו",לא,,,,,,,,
14.01.2026 20:56:30,20 - 25,לא,,,,,,,,,,1-2,דרך חברים קיימים,הולך לבד,5,2,תחביב יצירתי אחר,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא
14.01.2026 21:25:14,26-30,כן,כן,1-2,"דרך חברים קיימים, חוגים/ספורט",הולך לבד,4,4,בילוי/יין,הפרופיל שלו נראה אמיתי ומפורט,לא,,,,,,,,
14.01.2026 21:46:24,26-30,כן,כן,1-2,"משחקי מחשב, אחר",הולך לבד,3,5,תחביב יצירתי אחר,הפרופיל שלו נראה אמיתי ומפורט,לא,,,,,,,,
14.01.2026 21:46:36,20 - 25,כן,לא,3 +,אחר,מוותר,5,3,תחביב יצירתי אחר,"דיברנו קודם בטלפון/וידאו, מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר",לא,,,,,,,,
14.01.2026 21:51:32,20 - 25,לא,,,,,,,,,,3 +,דרך חברים קיימים,לא עושה פעילויות כאלו,1,1,בילוי/יין,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא
14.01.2026 21:52:40,26-30,כן,כן,0,אחר,לא עושה פעילויות כאלו,4,3,ספורט,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא,,,,,,,,
14.01.2026 21:58:58,26-30,כן,לא,1-2,אחר,הולך לבד,3,1,תחביב יצירתי אחר,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא,,,,,,,,
14.01.2026 22:02:25,31-35,לא,,,,,,,,,,1-2,אחר,לא עושה פעילויות כאלו,1,1,תחביב יצירתי אחר,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא
14.01.2026 22:03:40,20 - 25,לא,,,,,,,,,,3 +,"דרך חברים קיימים, אחר",הולך לבד,3,3,תחביב יצירתי אחר,מעולם לא נפגשתי עם מישהו מאפליקציה כזו או אחר,לא
